LIBNAME,CITY,STABR,LATITUDE,LONGITUD,log_VISITS,HRS_OPEN,gwr_local_r2,gwr_predictions,gwr_residuals,gwr_std_residuals,gwr_coef_intercept,gwr_coef_log_TOTSTAFF,gwr_coef_log_TOTINCM,gwr_coef_HRS_OPEN,gwr_coef_log_TOTCOLL,gwr_coef_log_TOTSTAFF_cv,gwr_coef_log_TOTINCM_cv,gwr_coef_HRS_OPEN_cv,gwr_coef_log_TOTCOLL_cv
ARLEY PUBLIC LIBRARY,ARLEY,AL,34.07846629,-87.21236804,8.966356154790121,1820,0.8367657389694493,8.361088759909393,0.6052673948807286,1.1667176650916653,9.99222207408004,0.3747853930987211,0.5689869385480499,0.14157079319026353,0.7046408848630419,0.8211730503155243,0.8493006421568968,6.968107918040343,0.3075167967841864
DOUBLE SPRINGS PUBLIC LIBRARY,DOUBLE SPRINGS,AL,34.14831577,-87.38865824,8.728264161496178,2210,0.8408975685443174,8.244969639331455,0.4832945221647229,0.9316019022678912,10.004774776530478,0.3875486008851294,0.5383073115412039,0.13721439125625082,0.7276835350111405,0.8211730503155243,0.8493006421568968,6.968107918040343,0.3075167967841864
HALEYVILLE PUBLIC LIBRARY,HALEYVILLE,AL,34.22626767,-87.62361776,8.98882050177807,2340,0.8452810334639387,9.062471483824801,-0.07365098204673082,-0.14197014828826676,10.023062310218306,0.4083040936037583,0.5031607567924196,0.11967949181070546,0.7537381686667116,0.8211730503155243,0.8493006421568968,6.968107918040343,0.3075167967841864
JASPER PUBLIC LIBRARY,JASPER,AL,33.8334779,-87.27474585,10.291976036437175,2124,0.8275762636544571,9.972514403479142,0.3194616329580331,0.6157964787854034,9.983264253722469,0.3115962393298045,0.665324601858983,0.14279827118443558,0.6767370322408744,0.8211730503155243,0.8493006421568968,6.968107918040343,0.3075167967841864
SUMITON PUBLIC LIBRARY,SUMITON,AL,33.7534234,-87.04945892,8.81314100828505,2340,0.8228747632944433,8.476535844552057,0.3366051637329939,0.6488424686509748,9.967913967061953,0.29434708635071566,0.6904545795387118,0.13892062506841965,0.6632089473155471,0.8211730503155243,0.8493006421568968,6.968107918040343,0.3075167967841864
CHEAHA REGIONAL LIBRARY,HEFLIN,AL,33.64383087,-85.58905583,7.743269700829004,3560,0.8650438530907165,9.51254564959381,-1.7692759487648049,-3.4104686974795424,9.932520877244357,0.4300989813549092,0.5595982573887075,0.03601059933716363,0.6735069017069026,0.8211730503155243,0.8493006421568968,6.968107918040343,0.3075167967841864
ROANOKE - ANNIE L. AWBREY PUBLIC LIBRARY,ROANOKE,AL,33.14955216,-85.37048706,10.654195843620604,1892,0.8666218208784314,9.324059933520934,1.3301359100996706,2.563979286529839,9.934263020853919,0.2674866841742021,0.7069661300148274,0.045088358133441656,0.7066212126588,0.8211730503155243,0.8493006421568968,6.968107918040343,0.3075167967841864
ASHLAND CITY PUBLIC LIBRARY,ASHLAND,AL,33.27481342,-85.83790122,9.069698042173716,1768,0.8351420064005144,8.720456814441016,0.3492412277326995,0.6731998340243245,9.918959625489457,0.2728593202914822,0.7346106582142836,0.0561950835558262,0.6670119499130002,0.8211730503155243,0.8493006421568968,6.968107918040343,0.3075167967841864
SYLACAUGA - B. B. COMER MEMORIAL LIBRARY,SYLACAUGA,AL,33.17178627,-86.25068711,10.814926533679259,2659,0.8137895479938659,11.024705536766513,-0.20977900308725417,-0.40437147405808704,9.91887754606393,0.17572996456387088,0.8528175709738621,0.08824765194556919,0.6394450477087258,0.8211730503155243,0.8493006421568968,6.968107918040343,0.3075167967841864
CHEROKEE COUNTY PUBLIC LIBRARY,CENTRE,AL,34.14943219,-85.6763325,10.559737318992255,1959,0.8790196422143658,9.789916563509891,0.769820755482364,1.4839118742757882,9.958953948585256,0.519888446697682,0.5047018632394255,0.023107740632878748,0.6410790951243864,0.8211730503155243,0.8493006421568968,6.968107918040343,0.3075167967841864
CHILDERSBURG - EARLE A. RAINWATER MEMORIAL LIBRARY,CHILDERSBURG,AL,33.27753885,-86.35562795,9.067624069774588,2490,0.8117782655622576,9.253845976595375,-0.1862219068207871,-0.35896265047893483,9.922272243438155,0.2008814351856178,0.8232880711488368,0.09837568260869074,0.636539927502242,0.8211730503155243,0.8493006421568968,6.968107918040343,0.3075167967841864
LINCOLN PUBLIC LIBRARY,LINCOLN,AL,33.60385673,-86.12320681,9.323936878558722,2170,0.8314135834780431,9.293083229194783,0.030853649363939084,0.05947371037976607,9.933315108589317,0.3542529010879219,0.6496380090822944,0.06372040670850533,0.6550198580186659,0.8211730503155243,0.8493006421568968,6.968107918040343,0.3075167967841864
LINEVILLE PUBLIC LIBRARY,LINEVILLE,AL,33.31085532,-85.75448352,8.77971129020447,2080,0.8423720286577071,8.174845977306761,0.604865312897708,1.1659426090480507,9.921313045720389,0.29490613177412855,0.7051386333373179,0.051571660918647094,0.673771088536944,0.8211730503155243,0.8493006421568968,6.968107918040343,0.3075167967841864
HEFLIN - LUCILE L. MORGAN PUBLIC LIBRARY,HEFLIN,AL,33.6438617,-85.58789356,9.044875932248651,2000,0.8651245851642456,8.58322139125986,0.4616545409887909,0.8898885231502432,9.932535755574568,0.43021123192332317,0.5594359225139739,0.03597649733784698,0.673564184060426,0.8211730503155243,0.8493006421568968,6.968107918040343,0.3075167967841864
OXFORD PUBLIC LIBRARY,OXFORD,AL,33.60969701,-85.8354595,10.574644715204458,2496,0.8466965211389161,10.579035639892984,-0.004390924688525644,-0.008463977150461736,9.929644081268414,0.39799883351623055,0.6019980535945508,0.04576716768787642,0.6622343144406168,0.8211730503155243,0.8493006421568968,6.968107918040343,0.3075167967841864
TALLADEGA - ARMSTRONG-OSBORNE PUBLIC LIBRARY,TALLADEGA,AL,33.43319166,-86.09957653,9.588297240667746,2192,0.8252511612777454,9.852701487915473,-0.26440424724772704,-0.5096674768842889,9.92444218898918,0.2972820092741575,0.7136034089949991,0.06863882628587756,0.6521961747841385,0.8211730503155243,0.8493006421568968,6.968107918040343,0.3075167967841864
ABBEVILLE MEMORIAL LIBRARY,ABBEVILLE,AL,31.56734062,-85.25038787,9.234642664499148,1954,0.8699531220974547,9.27373137565709,-0.03908871115794099,-0.07534767311003472,10.044254480899749,-0.07017063816288,1.0370701981823,0.056213165212325555,0.7302136148473632,0.8211730503155243,0.8493006421568968,6.968107918040343,0.3075167967841864
HEADLAND - BLANCHE R. SOLOMON MEMORIAL LIBRARY,HEADLAND,AL,31.35190474,-85.34188845,9.812249072101856,1576,0.8694442213876061,9.518270901718553,0.2939781703833031,0.5666743780327292,10.053637305412051,-0.0966669248248897,1.0534737450973422,0.05498120556428002,0.7377423903021108,0.8211730503155243,0.8493006421568968,6.968107918040343,0.3075167967841864
BRUNDIDGE - TUPPER LIGHTFOOT MEMORIAL LIBRARY,BRUNDIDGE,AL,31.71840174,-85.81566848,8.826587830773668,2282,0.8472947715836798,9.274645645644107,-0.44805781487043816,-0.8636793787557705,10.008797423870305,-0.08175467058701105,1.072361330969283,0.06091298252207127,0.7100712738429275,0.8211730503155243,0.8493006421568968,6.968107918040343,0.3075167967841864
OZARK - DALE COUNTY PUBLIC LIBRARY,OZARK,AL,31.51723076,-85.65877845,10.271769869516577,1845,0.8567275028333986,9.779459571440787,0.49231029807578963,0.9489807749924368,10.03209717025487,-0.09697140289893195,1.066840738028415,0.055960792796410315,0.7289289316444766,0.8211730503155243,0.8493006421568968,6.968107918040343,0.3075167967841864
CLIO - ELTON B. STEPHENS LIBRARY,CLIO,AL,31.70269725,-85.61497843,7.754052639035757,960,0.8541706962851119,7.192855980106549,0.5611966589292088,1.0817666061330695,10.019027804344784,-0.07384385516187802,1.057688745395117,0.05939075975343644,0.7177218237370556,0.8211730503155243,0.8493006421568968,6.968107918040343,0.3075167967841864
LOUISVILLE PUBLIC LIBRARY,LOUISVILLE,AL,31.78392939,-85.55529774,4.7535901911063645,900,0.8552260158990079,5.682238113157045,-0.9286479220506809,-1.7900682317782892,10.013995846035078,-0.05844872449619809,1.0477211970071127,0.05964373382510099,0.7130152585967118,0.8211730503155243,0.8493006421568968,6.968107918040343,0.3075167967841864
MIDLAND CITY - MARY BERRY BROWN MEMORIAL LIBRARY,MIDLAND CITY,AL,31.31792635,-85.49492865,9.474472303967703,1800,0.8650700440890732,8.225602015585244,1.2488702883824594,2.4073311055373527,10.052926662181948,-0.10902573283536743,1.0615414865650563,0.053174360004801434,0.7426655958051569,0.8211730503155243,0.8493006421568968,6.968107918040343,0.3075167967841864
NEWTON PUBLIC LIBRARY,NEWTON,AL,31.33138967,-85.59628244,7.029972911706386,1520,0.8619265606464211,6.8641500765611445,0.16582283514524132,0.31964125719618547,10.048645006056656,-0.11193044801702602,1.0653721548077664,0.05223408975673187,0.7424613671847241,0.8211730503155243,0.8493006421568968,6.968107918040343,0.3075167967841864
CLAYTON - TOWN AND COUNTY PUBLIC LIBRARY,CLAYTON,AL,31.88137751,-85.44959246,8.51097389160232,1250,0.8581254727176918,7.352878075898957,1.1580958157033638,2.2323535969025925,10.010763418810576,-0.03762208671842726,1.028974502941883,0.05839198592552569,0.7117157569053677,0.8211730503155243,0.8493006421568968,6.968107918040343,0.3075167967841864
TROY PUBLIC LIBRARY,TROY,AL,31.80839212,-85.96660267,11.071190485689032,2236,0.8394741826608366,10.905363427401419,0.16582705828761313,0.3196493977549683,9.995275688467963,-0.08229352758046926,1.0828374667985048,0.0648715378627745,0.6994042176727419,0.8211730503155243,0.8493006421568968,6.968107918040343,0.3075167967841864
UNION SPRINGS PUBLIC LIBRARY,UNION SPRINGS,AL,32.14360282,-85.71618401,8.423102268016642,1560,0.8407946634311002,7.8660870287821805,0.5570152392344614,1.0737064722744047,9.976284767841413,-0.0167238415134921,1.0319774432639928,0.06452173477441152,0.6888673501620158,0.8211730503155243,0.8493006421568968,6.968107918040343,0.3075167967841864
ANDALUSIA PUBLIC LIBRARY,ANDALUSIA,AL,31.30658506,-86.48306445,10.489912179174006,2080,0.8452857927628884,10.333133974258304,0.15677820491570138,0.30220676468547325,10.031394716178673,-0.12403418405949908,1.0764238903317063,0.01132077737292158,0.7513026995447366,0.8211730503155243,0.8493006421568968,6.968107918040343,0.3075167967841864
BRANTLEY PUBLIC LIBRARY,BRANTLEY,AL,31.58410649,-86.25573137,7.1316985104669115,832,0.8400935882685008,8.251257381123724,-1.119558870656812,-2.1580695120092726,10.008855543458584,-0.10749152586681573,1.0911109656720106,0.04033680267421125,0.717300677584774,0.8211730503155243,0.8493006421568968,6.968107918040343,0.3075167967841864
ELBA PUBLIC LIBRARY,ELBA,AL,31.41460356,-86.06633776,9.550591175100745,2264,0.8483896365313117,9.395372042037506,0.1552191330632393,0.2992014868747081,10.028342143272976,-0.11617430192423918,1.0794977785451345,0.04061293717155095,0.7358190789585733,0.8211730503155243,0.8493006421568968,6.968107918040343,0.3075167967841864
GENEVA - EMMA KNOX KENAN LIBRARY,GENEVA,AL,31.03566895,-85.8648253,8.906257878156621,1722,0.8603549058689193,8.70397787481139,0.20228000334523166,0.38991634968903094,10.064152930801162,-0.1396075210578455,1.0652765918668663,0.032344979395544954,0.769833910968596,0.8211730503155243,0.8493006421568968,6.968107918040343,0.3075167967841864
ENTERPRISE PUBLIC LIBRARY,ENTERPRISE,AL,31.31397252,-85.85282496,10.93505150645111,2512,0.8554549809486279,10.335272739324088,0.599778767127022,1.1561377478327426,10.042553378803133,-0.12145006662394557,1.0729465803672271,0.04538871679706212,0.7453226338280916,0.8211730503155243,0.8493006421568968,6.968107918040343,0.3075167967841864
FLORALA PUBLIC LIBRARY,FLORALA,AL,31.00568149,-86.32716294,9.218804450388312,1944,0.8534881074717326,8.70570790849893,0.5130965418893823,0.9890484839973136,10.055696821035633,-0.1331324151267986,1.0572016787335645,0.007915064661487559,0.7761081243240311,0.8211730503155243,0.8493006421568968,6.968107918040343,0.3075167967841864
HARTFORD - MCGREGOR-MCKINNEY PUBLIC LIBRARY,HARTFORD,AL,31.09828821,-85.69671402,9.03884005381381,2295,0.862983635038497,9.245411657056222,-0.20657160324241097,-0.39818886767677314,10.063086284318072,-0.1331460108823345,1.0653719908688466,0.04280881050871237,0.7615039191666696,0.8211730503155243,0.8493006421568968,6.968107918040343,0.3075167967841864
